"","logFC","logCPM","PValue","FDR"
"Cflar",-1.49331720841206,12.8792124738426,4.81815785551793e-133,1.69599156514231e-130
"Il1rl1",1.11279690871029,14.0340737380741,8.8508123757879e-89,1.55774297813867e-86
"Il1r1",1.20691557571202,11.8811575616167,6.10839767272608e-76,7.16718660266526e-74
"Nbeal1",-1.12514672689771,12.3443014706478,8.34254043439977e-68,7.3414355822718e-66
"Plekhb2",-0.987868544442089,12.5738941624811,2.2667523156718e-62,1.59579363023295e-60
"Tmeff2",-2.18972586165678,9.71083309228442,1.06628256996715e-59,6.25552441047395e-58
"Dst",-0.794190158636839,14.7466491754945,4.82071919588248e-58,2.42413308135805e-56
"Aff3",1.39065765814369,10.3632518566822,1.23243077270022e-50,5.42269539988097e-49
"Nrp2",-0.776579839359021,13.2474197228956,9.17582818016151e-48,3.58876835490761e-46
"Rdh10",1.26474226827134,10.8145462523347,1.72909601570125e-44,6.08641797526841e-43
"Khdrbs2",-9.30358490444548,7.25775713732172,3.33789030126347e-41,1.06812489640431e-39
"Acadl",-0.819354253962921,12.2655407504329,1.36843664024286e-38,4.01408081137906e-37
"Aox1",-1.72375775962857,9.08586193678545,1.28328948748477e-31,3.47475307380491e-30
"Plekhm3",-0.904114718154197,11.0226432752627,1.02630834557854e-29,2.42153267270007e-28
"Lactb2",-0.958296448861933,10.9127958036855,1.03190312757105e-29,2.42153267270007e-28
"Slc39a10",0.577366613052105,12.9960245065324,1.512198354577e-27,3.3268363800694e-26
"Pi15",1.03873240529142,10.4955649624273,1.24334844922969e-26,2.57446267134618e-25
"Raph1",-0.951542390220768,11.1343161990082,1.08156467499124e-25,2.11505980887176e-24
"Fzd5",-1.05882388357161,10.8669948311529,9.91486996323899e-25,1.83686011950533e-23
"Hspe1",0.464433435474237,14.6135421408127,1.15685374736162e-22,2.03606259535646e-21
"Tmem70",0.567650409488342,12.450174225136,1.33607077918018e-21,2.22906745119101e-20
"Fam150a",2.97711219004268,6.62619613339893,1.39316715699438e-21,2.22906745119101e-20
"Pcmtd1",-0.65327977296237,11.6278535990834,2.25551997214144e-20,3.45192621823386e-19
"Sulf1",-0.531131705139569,12.8108717125223,7.38394034270064e-18,1.08297791692943e-16
"Fhl2",-0.474174139889285,13.7696772973458,9.38091113337909e-17,1.32083228757978e-15
"Tmbim1",-0.512170860132663,12.966480616949,1.35659261655669e-16,1.83661769626136e-15
"Arpc2",-0.405762818066642,14.6555857270988,1.64975980270794e-16,2.15079796501183e-15
