Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20
1,99,4337,1866,3554,4224,46,3481,1004,2701,4654,4391,1501,4724,1597,1881,3870,3110,4149,1226,522,4480,3663
2,163,1006,4986,6,3369,4172,2282,1303,3023,4220,575,538,558,2915,987,1845,2743,4225,4906,3221,753,1999
3,2144,1921,628,3172,2923,2813,2169,3798,665,3018,1205,2261,2310,2606,4058,2823,2198,2191,1014,2346,2806,3931
4,2852,3336,3252,1983,2427,1035,2364,713,812,2074,4552,4917,2178,1007,4762,4271,916,2979,3069,2723,2693,1622
5,1401,2564,3234,4170,3670,3922,4771,1378,49,872,4678,207,2275,369,3183,1207,527,142,901,3850,3657,4625
6,4512,2949,2369,3880,1,3330,10,1467,2470,4235,1278,34,2364,794,2701,3046,24,620,1247,2821,4655,1395
7,4770,1794,2723,405,2348,2219,1783,3680,3773,502,2910,365,959,2051,2929,1604,1485,1592,2450,33,4027,3144
8,3095,783,1010,2824,2270,3262,1872,4707,290,1730,879,838,4211,4883,4612,4927,3532,4959,4333,2040,3024,4315
9,2174,85,3114,1229,1971,145,3250,1056,3705,2199,4622,981,1598,3397,2771,1015,3364,3068,2931,3250,2635,3911
10,4780,3780,896,4333,3528,9,4723,3861,1359,4664,4318,1898,1559,2764,759,4122,2754,870,1670,2526,2341,241
11,4334,2474,350,97,4338,4996,4686,1698,2643,971,2521,332,519,2137,1858,1921,2449,522,607,4852,4568,4122
12,3555,858,3268,2029,852,4396,3303,3052,2045,2230,2201,4881,826,4968,3837,3451,1540,663,829,4563,801,3252
13,3527,4947,4133,3407,778,3490,3972,3152,1432,4451,1204,2984,4500,3959,204,1199,865,960,2138,937,1176,4103
14,1790,177,926,1388,4406,2315,3253,1761,4981,1984,192,1280,3386,4907,3530,3139,4825,813,4798,4753,4673,4208
15,4264,2344,1046,3288,1310,4260,918,3788,4339,2649,1161,1237,291,467,331,4624,2893,629,4094,2191,1066,4353
16,4277,2146,1712,2672,2419,3727,2246,41,977,3969,1429,2284,351,4868,1666,4040,3768,2254,4121,4093,85,1166
17,4326,3449,919,4839,2198,1589,4804,2625,2394,3316,4223,411,4958,1462,3327,2880,2996,1270,775,3009,2028,2378
18,2022,789,795,45,4699,2537,2972,2307,1288,1524,4429,2561,4174,3799,4481,4244,2706,745,4435,2863,3193,4293
19,1014,1444,877,698,1511,57,2244,4795,431,4960,4740,3820,1942,4489,2300,2964,2903,3205,1787,1429,4287,4969
20,3634,4360,2551,2388,1579,1633,451,1725,4924,1532,2562,3640,4170,2947,712,854,2276,168,2650,4688,950,2118
21,1669,4080,3159,385,2485,3268,542,4733,492,1762,1943,3413,2590,3409,1502,172,3640,4265,3867,8,3562,2444
22,4977,1900,2602,4949,1812,596,1042,1186,319,3093,1591,4723,4858,2958,1194,1906,2891,1044,2163,4397,436,1635
23,726,1820,2796,508,1157,675,453,3103,3738,3274,3202,1163,1683,1371,840,3686,2004,3492,742,2746,2127,4948
