Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Exp3,Exp4,Exp5,Exp6
1,295,3423,93,1422,3167,3063,3063,581
2,3269,2069,2664,1879,2546,87,3537,158
3,616,4773,2177,3801,1638,4586,4834,1871
4,3570,3569,1953,2184,625,4996,3728,397
5,4164,600,1406,432,3750,4788,1554,800
6,4023,4975,2381,4797,1184,4415,931,222
7,3509,2248,2449,3024,4599,3722,4901,2459
8,153,103,4404,3373,1679,689,3269,1998
9,3048,4183,4188,767,1416,1017,3713,3916
10,895,3394,4068,4366,592,2707,2524,2020
11,2327,1412,1799,3382,3309,3399,4756,165
12,1829,1742,2289,4026,1313,903,444,289
13,4347,4259,2033,3080,2277,969,354,893
14,2226,2582,235,4146,1406,3284,4821,4326
15,4409,1001,1667,1550,1445,1590,1823,4479
16,2845,2654,1442,775,739,1906,3073,739
17,2250,3270,2909,3013,1958,4092,1202,2737
18,1158,3897,924,4399,2658,844,688,824
19,1574,1926,2823,378,713,2833,3128,3524
20,714,33,1543,425,4691,2659,3018,206
21,4661,4680,2144,4546,813,1516,2162,2701
22,2042,4993,4333,631,591,962,1011,3723
23,1222,60,4191,3437,4501,3401,772,736
24,3604,1255,3570,3375,788,2182,1670,2693
25,4854,2864,3207,1885,706,1772,2863,418
26,1756,931,715,4052,3278,3535,2834,4124
27,2824,420,4613,54,3351,3591,4472,2800
28,2696,269,4080,2579,490,607,1368,1136
29,4416,819,491,481,2795,4099,2556,1007
30,2641,52,3661,3354,1953,2195,3994,1551
31,4795,2945,2810,498,1514,3919,2487,2191
32,1681,2330,2413,4572,4093,3655,4207,867
33,729,837,1792,4770,2486,1152,4926,804
34,4303,4330,1449,3639,4702,763,1821,2954
35,4847,4958,1605,2413,3870,4254,2947,3395
36,1744,753,974,1968,4456,2981,2445,2093
37,977,2360,731,4811,4910,1759,1430,4017
38,4785,4769,50,1799,1630,211,958,820
39,4245,106,4737,1276,22,2043,177,2589
40,342,860,2354,3085,4019,811,2559,1078
41,4147,1373,1458,4421,4277,3436,2396,821
42,1572,3885,426,3387,4029,3619,2325,1816
43,672,1319,975,1023,2926,4221,2832,1786
44,339,466,2449,1101,1547,2296,1533,1651
45,4477,2194,287,929,2963,353,325,2164
46,3846,2156,3416,1112,2439,273,3908,2703
47,2223,3909,2013,1867,895,3605,3766,3696
48,3412,3046,1661,3560,4408,4612,45,2028
