Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2
Xkr4,0,0,1,0
Rp1,0,0,0,0
Sox17,0,0,0,0
Mrpl15,1974,1744,2085,2593
Lypla1,1652,1442,1528,2197
Tcea1,4690,3858,5330,6625
Rgs20,17,7,9,17
Atp6v1h,2093,1807,3504,4307
Oprk1,0,0,0,0
Npbwr1,0,0,0,0
Rb1cc1,3054,2437,3276,4156
Fam150a,57,42,9,10
St18,0,2,1,1
Pcmtd1,654,569,1260,1693
Sntg1,1,2,10,14
Rrs1,1827,1646,1771,2371
Adhfe1,3,6,10,15
2610203C22Rik,4,0,8,12
3110035E14Rik,0,0,0,0
Sgk3,73,75,28,41
Mcmdc2,0,0,0,0
Snhg6,1000,796,1095,1437
Snord87,15,3,5,11
Ppp1r42,0,0,0,1
Cops5,2447,2182,2809,3361
Cspp1,301,238,362,495
Arfgef1,2258,1884,2656,3413
Cpa6,52,28,74,76
Mir467e,0,0,0,0
Prex2,146,142,143,215
A830018L16Rik,0,0,0,0
Gm17644,0,0,0,0
Sulf1,1615,1343,2942,3584
Slco5a1,85,68,53,76
Prdm14,0,0,0,0
Ncoa2,975,965,1413,2064
Tram1,7031,5920,6529,8674
Lactb2,342,298,860,1042
Xkr9,0,0,0,2
Gm5523,8,4,11,10
Eya1,6,9,1,9
Msc,0,0,0,0
Trpa1,0,0,0,0
Kcnb2,0,0,0,0
Sbspon,0,0,0,0
4930444P10Rik,0,0,0,1
Rdh10,676,673,369,494
Stau2,348,290,473,653
Ube2w,1088,847,1513,1932
Tceb1,2528,2287,2727,3549
D030040B21Rik,6,4,6,6
Tmem70,1790,1636,1562,1981
Ly96,89,70,111,140
Jph1,326,288,321,356
Gdap1,4,4,2,4
Pi15,575,453,322,445
Crispld1,3,2,1,1
6720483E21Rik,0,0,1,2
Paqr8,238,231,364,494
Efhc1,61,47,80,93
Tram2,143,94,132,211
Tmem14a,18,19,45,66
Gsta3,0,0,0,0
Gm4956,0,0,0,0
Khdc1a,0,0,0,0
Khdc1c,0,0,0,0
Khdc1b,0,0,0,0
Kcnq5,74,64,107,127
Rims1,0,1,0,1
4933415F23Rik,0,0,0,2
Mir30a,0,0,0,0
Mir30c-2,0,0,0,0
Ogfrl1,333,256,646,871
B3gat2,0,0,1,0
Smap1,1185,1071,1784,2305
1110058L19Rik,231,214,339,409
Fam135a,801,670,1362,1755
Col9a1,0,0,0,0
Col19a1,0,0,1,4
Lmbrd1,579,490,1002,1201
Gm597,1,0,2,1
Phf3,2975,2455,4345,5405
Ptp4a1,164,133,205,263
Khdrbs2,0,0,79,112
Gm9839,0,0,0,0
Gm5415,0,0,0,0
Prim2,1573,1416,2016,2499
1700001G17Rik,11,8,6,11
Rab23,751,629,902,1144
Bag2,2431,2234,2717,3598
Zfp451,567,456,673,872
Gm15455,13,3,6,13
Bend6,170,179,257,393
Dst,5351,4808,12036,14917
Mir5103,0,0,0,0
Ccdc115,348,360,468,577
Imp4,1471,1450,1716,2072
Ptpn18,0,2,2,1
AA619741,0,0,0,0
Arhgef4,33,28,49,85
Fam168b,6581,6303,8631,10816
Plekhb2,1078,957,2686,3505
Hs6st1,1309,1301,1350,1857
Uggt1,7176,6308,10335,12854
Neurl3,14,9,17,19
Arid5a,291,296,463,637
Kansl3,1540,1548,2399,3054
Lman2l,251,223,357,442
Cnnm4,1135,968,1240,1540
Cnnm3,296,288,332,491
Ankrd23,8,16,19,27
Ankrd39,172,163,162,246
Sema4c,492,512,526,681
Fam178b,1,0,0,0
Cox5b,2467,2521,2687,3777
Actr1b,4395,4166,5392,7037
4933424G06Rik,0,0,1,0
Zap70,0,0,1,0
Tmem131,2225,1946,2951,3948
Cnga3,1,1,0,0
Inpp4a,135,111,205,242
Coa5,2825,2550,3899,4885
Unc50,633,554,882,1092
Mgat4a,230,212,400,523
4930594C11Rik,1,0,1,1
2010300C02Rik,1,1,1,0
Tsga10,42,23,47,65
Lipt1,188,175,241,259
Mitd1,294,245,404,585
Mrpl30,2114,2042,2445,3084
Lyg2,1,0,0,0
